Js3sAd,61.79,9.073,11.3,28.2,23.6,100.0
Ks7sAd,59.58,9.106,3.7,66.0,0.0,100.0
Qs2sKd,59.58,9.416,44.1,14.0,100.0,24.8
JcTd3s,59.35,9.526,26.0,44.2,46.9,100.0
AsQs7s,59.13,8.42,0.0,0.0,22.7,100.0
Qc5d2s,58.27,9.068,0.0,31.7,100.0,0.0
Qs7sQd,57.93,9.554,0.0,23.7,100.0,11.2
Qc6d2s,57.87,8.876,62.3,43.3,8.1,100.0
Ks3s3d,57.68,9.203,0.0,0.0,100.0,0.0
Ts4sJd,57.55,8.927,0.0,41.5,100.0,2.5
Ac9d8s,57.44,8.969,20.2,77.5,0.0,100.0
KsTs4d,56.79,8.464,36.8,0.0,24.4,100.0
Ac6d5s,56.28,8.484,12.2,45.2,63.2,100.0
Ks9s2d,56.08,8.212,14.9,7.4,74.5,100.0
As3s2d,55.59,7.061,8.1,0.0,0.0,100.0
6s4sJd,55.00,7.933,12.8,39.6,79.6,100.0
9s5sKd,54.96,8.629,46.2,37.7,69.6,100.0
Tc9d4s,54.36,8.333,22.9,100.0,0.0,70.8
Tc6d5s,53.09,8.198,4.7,100.0,0.0,27.1
Js8s7d,52.91,7.461,23.3,23.1,33.7,100.0
7s6s7d,51.31,7.086,15.8,35.3,0.0,100.0
8c4d2s,51.23,6.733,0.0,42.9,10.7,100.0
Ts8s7d,50.70,7.05,4.5,60.3,4.1,100.0
8c5d3s,50.66,7.207,18.9,39.3,0.0,100.0
9s7s5d,48.77,6.112,8.6,2.7,8.0,100.0
